# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
111249at33090	Fragmented	L_sativa_g024796.t1	155.1	122	https://v10-1.orthodb.org/?query=111249at33090	Predicted protein
111924at33090	Complete	L_sativa_g034126.t1	426.8	252	https://v10-1.orthodb.org/?query=111924at33090	Ankyrin repeat-containing domain
112238at33090	Complete	L_sativa_g010203.t1	780.5	527	https://v10-1.orthodb.org/?query=112238at33090	Zinc finger, PHD-type
112325at33090	Complete	L_sativa_g018108.t1	365.0	290	https://v10-1.orthodb.org/?query=112325at33090	Sister chromatid cohesion protein Dcc1
112461at33090	Complete	L_sativa_g009412.t1	606.7	357	https://v10-1.orthodb.org/?query=112461at33090	FAD-linked oxidase, C-terminal
112542at33090	Complete	L_sativa_g023771.t1	450.0	247	https://v10-1.orthodb.org/?query=112542at33090	Cytochrome C biogenesis protein, transmembrane domain
113024at33090	Complete	L_sativa_g022575.t1	372.1	246	https://v10-1.orthodb.org/?query=113024at33090	Queuosine salvage protein
114996at33090	Complete	L_sativa_g039122.t1	1239.3	971	https://v10-1.orthodb.org/?query=114996at33090	Elongator complex protein 1
115240at33090	Complete	L_sativa_g038457.t1	487.2	312	https://v10-1.orthodb.org/?query=115240at33090	Ubiquitin domain
115992at33090	Complete	L_sativa_g010784.t1	435.7	255	https://v10-1.orthodb.org/?query=115992at33090	WD40 repeat
116411at33090	Complete	L_sativa_g036101.t1	374.6	245	https://v10-1.orthodb.org/?query=116411at33090	WD40/YVTN repeat-like-containing domain superfamily
116516at33090	Complete	L_sativa_g040884.t1	600.2	355	https://v10-1.orthodb.org/?query=116516at33090	SecY/SEC61-alpha family
116585at33090	Complete	L_sativa_g026494.t1	333.2	232	https://v10-1.orthodb.org/?query=116585at33090	Zinc finger, RING-type
116623at33090	Complete	L_sativa_g030400.t1	381.0	276	https://v10-1.orthodb.org/?query=116623at33090	Zinc finger, HIT-type
117191at33090	Complete	L_sativa_g029801.t1	429.2	281	https://v10-1.orthodb.org/?query=117191at33090	NAD(P)-binding domain
117247at33090	Complete	L_sativa_g018745.t1	479.0	273	https://v10-1.orthodb.org/?query=117247at33090	Protein phosphatase methylesterase 1
119439at33090	Complete	L_sativa_g010602.t1	512.5	338	https://v10-1.orthodb.org/?query=119439at33090	Arginine biosynthesis bifunctional protein ArgJ, chloroplastic
120031at33090	Duplicated	L_sativa_g000572.t1	365.1	298	https://v10-1.orthodb.org/?query=120031at33090	FAD dependent oxidoreductase
120031at33090	Duplicated	L_sativa_g026921.t1	328.6	298	https://v10-1.orthodb.org/?query=120031at33090	FAD dependent oxidoreductase
120338at33090	Complete	L_sativa_g002402.t1	656.0	364	https://v10-1.orthodb.org/?query=120338at33090	Methylthiotransferase, N-terminal
120455at33090	Complete	L_sativa_g039687.t1	407.5	220	https://v10-1.orthodb.org/?query=120455at33090	Uracil-DNA glycosylase
120589at33090	Complete	L_sativa_g013781.t1	680.4	430	https://v10-1.orthodb.org/?query=120589at33090	beta-catenin-like protein 1
121281at33090	Complete	L_sativa_g022320.t1	416.2	277	https://v10-1.orthodb.org/?query=121281at33090	Formyl transferase, C-terminal
121303at33090	Complete	L_sativa_g017696.t1	538.9	360	https://v10-1.orthodb.org/?query=121303at33090	Alpha/Beta hydrolase fold
122367at33090	Complete	L_sativa_g037205.t1	486.2	337	https://v10-1.orthodb.org/?query=122367at33090	Amine oxidase
122422at33090	Complete	L_sativa_g002163.t1	392.1	247	https://v10-1.orthodb.org/?query=122422at33090	Short-chain dehydrogenase/reductase SDR
122831at33090	Complete	L_sativa_g044505.t1	457.2	317	https://v10-1.orthodb.org/?query=122831at33090	Helicase, C-terminal
122958at33090	Complete	L_sativa_g015869.t1	454.8	271	https://v10-1.orthodb.org/?query=122958at33090	Leucine carboxyl methyltransferase 1
