# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
116623at33090	Complete	A_thaliana_g024736.t1	338.1	264	https://v10-1.orthodb.org/?query=116623at33090	Zinc finger, HIT-type
117191at33090	Complete	A_thaliana_g007687.t1	427.2	281	https://v10-1.orthodb.org/?query=117191at33090	NAD(P)-binding domain
117247at33090	Complete	A_thaliana_g016149.t1	390.4	271	https://v10-1.orthodb.org/?query=117247at33090	Protein phosphatase methylesterase 1
119439at33090	Complete	A_thaliana_g009390.t1	495.8	331	https://v10-1.orthodb.org/?query=119439at33090	Arginine biosynthesis bifunctional protein ArgJ, chloroplastic
120031at33090	Complete	A_thaliana_g007918.t1	372.8	299	https://v10-1.orthodb.org/?query=120031at33090	FAD dependent oxidoreductase
120338at33090	Complete	A_thaliana_g005766.t1	661.8	364	https://v10-1.orthodb.org/?query=120338at33090	Methylthiotransferase, N-terminal
120455at33090	Complete	A_thaliana_g012314.t1	365.5	210	https://v10-1.orthodb.org/?query=120455at33090	Uracil-DNA glycosylase
120589at33090	Complete	A_thaliana_g010674.t1	668.4	427	https://v10-1.orthodb.org/?query=120589at33090	beta-catenin-like protein 1
121281at33090	Complete	A_thaliana_g005213.t1	350.3	277	https://v10-1.orthodb.org/?query=121281at33090	Formyl transferase, C-terminal
121303at33090	Complete	A_thaliana_g015262.t1	500.6	322	https://v10-1.orthodb.org/?query=121303at33090	Alpha/Beta hydrolase fold
122367at33090	Complete	A_thaliana_g011350.t1	483.4	336	https://v10-1.orthodb.org/?query=122367at33090	Amine oxidase
122422at33090	Complete	A_thaliana_g016126.t1	406.6	248	https://v10-1.orthodb.org/?query=122422at33090	Short-chain dehydrogenase/reductase SDR
122831at33090	Complete	A_thaliana_g004554.t1	464.1	315	https://v10-1.orthodb.org/?query=122831at33090	Helicase, C-terminal
122958at33090	Complete	A_thaliana_g000115.t1	462.2	271	https://v10-1.orthodb.org/?query=122958at33090	Leucine carboxyl methyltransferase 1
123838at33090	Complete	A_thaliana_g001121.t1	359.7	233	https://v10-1.orthodb.org/?query=123838at33090	Alpha-ketoglutarate-dependent dioxygenase AlkB-like
125550at33090	Complete	A_thaliana_g011735.t1	170.9	133	https://v10-1.orthodb.org/?query=125550at33090	Regulatory protein RecX
125747at33090	Complete	A_thaliana_g007804.t1	268.4	202	https://v10-1.orthodb.org/?query=125747at33090	Predicted protein
126138at33090	Complete	A_thaliana_g009213.t1	610.3	440	https://v10-1.orthodb.org/?query=126138at33090	DnaJ domain
126427at33090	Complete	A_thaliana_g015520.t1	386.8	256	https://v10-1.orthodb.org/?query=126427at33090	RmlD-like substrate binding domain
127059at33090	Complete	A_thaliana_g008227.t1	580.2	321	https://v10-1.orthodb.org/?query=127059at33090	Aminoacyl-tRNA synthetase, class Ic
128774at33090	Complete	A_thaliana_g012347.t1	270.4	195	https://v10-1.orthodb.org/?query=128774at33090	Proteasome assembly chaperone 2
130268at33090	Complete	A_thaliana_g002233.t1	368.6	225	https://v10-1.orthodb.org/?query=130268at33090	Methyltransferase type 11
130279at33090	Complete	A_thaliana_g003831.t1	369.5	240	https://v10-1.orthodb.org/?query=130279at33090	Plastid lipid-associated protein/fibrillin conserved domain
130637at33090	Complete	A_thaliana_g024714.t1	469.4	262	https://v10-1.orthodb.org/?query=130637at33090	Protein kinase domain
131556at33090	Complete	A_thaliana_g003094.t1	491.7	298	https://v10-1.orthodb.org/?query=131556at33090	SUF system FeS cluster assembly, SufBD
131874at33090	Complete	A_thaliana_g017780.t1	880.0	520	https://v10-1.orthodb.org/?query=131874at33090	ABC transporter type 1, transmembrane domain
131914at33090	Complete	A_thaliana_g002539.t1	299.4	217	https://v10-1.orthodb.org/?query=131914at33090	Aspartate/glutamate/uridylate kinase
133112at33090	Complete	A_thaliana_g010865.t1	333.1	243	https://v10-1.orthodb.org/?query=133112at33090	Predicted protein
133622at33090	Complete	A_thaliana_g025085.t1	366.0	246	https://v10-1.orthodb.org/?query=133622at33090	OTU domain
134078at33090	Complete	A_thaliana_g003784.t1	429.0	253	https://v10-1.orthodb.org/?query=134078at33090	Pseudouridine-5'-phosphate glycosidase
135419at33090	Complete	A_thaliana_g020976.t1	493.7	283	https://v10-1.orthodb.org/?query=135419at33090	NAD(P)-binding domain
135892at33090	Complete	A_thaliana_g002671.t1	718.2	409	https://v10-1.orthodb.org/?query=135892at33090	Pyridoxal phosphate-dependent transferase
136118at33090	Complete	A_thaliana_g007684.t1	779.7	452	https://v10-1.orthodb.org/?query=136118at33090	WD40 repeat
136267at33090	Complete	A_thaliana_g017940.t1	312.1	253	https://v10-1.orthodb.org/?query=136267at33090	Leucine-rich repeat, cysteine-containing subtype
